DISCIPL,COMMONNAME,LEGALNAME,ADSTREET,ADSTATE,ADZIP5,PHONE,WEBURL,REVENUE15,LONGITUDE,LATITUDE,GSTREET
SCI,MOBILE AVIATION HISTORICAL EXHIBITS,MOBILE AVIATION HISTORICAL EXHIBITS,3010 35TH AVE,IL,61201,3097931837, ,0,-90.55711,41.47432,3010 35TH AVE
BOT,QUAD CITY BOTANICAL CENTER,QUAD CITY BOTANICAL CENTER FOUNDATION,2525 4TH AVE,IL,61201,3097940991, ,847791,-90.56463,41.50887,2525 4TH AVE
CMU,DUPAGE CHILDREN'S MUSEUM,DUPAGE CHILDRENS MUSEUM,301 N WASHINGTON ST,IL,60540,6306378000,HTTP://DUPAGECHILDRENS.ORG,4353093,-88.14767,41.77859,301 N WASHINGTON ST
SCI,MUSEUM OF ANESTHESIOLOGY - WOOD LIBRARY,WOOD LIBRARY-MUSEUM OF ANESTHESIOLOGY,520 N NORTHWEST HWY,IL,60068,8478255586, ,1130648,-88.04397,42.04747,1061 AMERICAN LN
ART,LITHUANIAN MUSEUM OF ART,LITHUANIAN MUSEUM OF ART INC,14911 127 STREET,IL,60439, , ,0,-87.98112,41.65706,14911 E 127TH ST
CMU,KOHL CHILDREN'S MUSEUM OF GREATER CHICAGO,KOHL CHILDRENS MUSEUM OF GREATER CHICAGO INC,2100 PATRIOT BLVD,IL,60026,8478326600,HTTP://WWW.KOHLCHILDRENSMUSEUM.ORG,3893941,-87.82431,42.10032,2100 PATRIOT BLVD
CMU,QUAD CITY KIDS & COMPANY,QUAD CITY KIDS & CO,1723 2ND AVE,IL,61201, , , ,-90.5758,41.51114,1723 2ND AVE
ART,INTUIT: THE CENTER FOR INTUITIVE AND OUTSIDER ART,INTUIT THE CENTER FOR INTUITIVE AND OUTSIDE ART,756 N MILWAUKEE AVE,IL,60622,3122439088,HTTP://WWW.ART.ORG/,478183,-87.65483,41.89575,756 N MILWAUKEE AVE
CMU,WONDER WORKS - A CHILDREN'S MUSEUM IN OAK PARK,WONDER WORKS - A CHILDREN'S MUSEUM IN OAK PARK,6445 NORTH AVE,IL,60302,7083834815,HTTP://WWW.WONDER-WORKS.ORG,304322,-87.7862,41.90904,6445 NORTH AVE
HST,LEATHER ARCHIVES AND MUSEUM,THE LEATHER ARCHIVES AND MUSEUM,6418 N GREENVW AVE,IL,60626, ,HTTP://WWW.LEATHERARCHIVES.ORG,197943,-87.66806,41.99875,6418 N GREENVIEW AVE
HST,ILLINOIS SIGNAL CORPS AND MILITARY HISTORY MUSEUM,ILLINOIS SIGNAL CORPS AND MILITARY HISTORY MUSEUM INC,POB 848,IL,60499, , ,0,-87.79045,41.75913,PO BOX 848
CMU,CHILDREN'S DISCOVERY MUSEUM OF ELGIN,CHILDRENS DISCOVERY MUSEUM OF ELGIN,38 FOUNTAIN SQ PLAZA,IL,60056, , , ,-87.94078,42.0587,38 FOUNTAIN SQ PLAZA
CMU,BRONZEVILLE CHILDREN'S MUSEUM,BRONZEVILLE CHILDRENS MUSEUM,9301 S STONY ISLAND AVE,IL,60617,7737219301,HTTP://WWW.BRONZEVILLECHILDRENSMUSEUM.COM,143187,-87.58532,41.72598,9301 S STONY ISLAND AVE
ART,ADDISON CENTER FOR THE ARTS,ADDISON CENTER FOR THE ARTS,213 N LOMBARD ROAD,IL,60101,6304584500,HTTP://WWW.ADDISONCENTERFORTHEARTS.COM/,49999,-88.02469,41.92175,213 N LOMBARD RD
HST,APPLE RIVER FORT HISTORIC FOUNDATION,APPLE RIVER FORT HISTORIC FOUNDATION INC,PO BOX 26,IL,61028,8158582028,HTTP://WWW.APPLERIVERFORT.ORG,23947,-90.22127,42.31793,311 E MYRTLE
HST,JOSEPH F GLIDDEN HOMESTEAD AND HISTORICAL CENTER,JOSEPH F GLIDDEN HOMESTEAD AND HISTORICAL CENTER,921 W LINCOLN HWV,IL,60115,8157567904,HTTP://WWW.GLIDDENHOMESTEAD.ORG,25634,-88.7699,41.93109,921 W LINCOLN HWY
ZAW,WILDLIFE,WILDLIFE INC,1421 S ARMSTRONG AVE,IL,61032,8152322296, , ,-89.60172,42.2848,1421 S ARMSTRONG AVE
HST,LAKE BLUFF HISTORY MUSEUM,LAKE BLUFF HISTORY MUSEUM,PO BOX 250,IL,60044,8474821571, ,38548,-87.84321,42.27958,127 E SCRANTON AVE
ART,ELMHURST ART MUSEUM,ELMHURST ART MUSEUM,150 S COTTAGE HL AVE,IL,60126,6308340202, ,545585,-87.94253,41.89762,150 S COTTAGE HILL AVE
SCI,BELLER MUSEUM,BELLER MUSEUM,129 OAK AVE,IL,60559,6306532277,HTTP://WWW.BELLERMUSEUM.COM,29274,-87.96786,41.79267,129 OAK AVE
HST,PECATONICA HERITAGE MUSEUM,PECATONICA HERITAGE MUSEUM CORP,PO BOX 243,IL,61063, , ,0,-89.35041,42.30976,PO BOX 243
HST,AMERICAS HISTORY MUSEUM OF GODFREY,AMERICAS HISTORY MUSEUM OF GODFREY INC,5802 GREENLEAF AVENUE,IL,62035,6184664333, , ,-90.18458,38.95094,5802 GREENLEAF AVENUE
HST,VINTAGE WINGS AND WHEELS MUSEUM,POPLAR GROVE AVIATION EDUCATION ASSOCIATION INC,5151 ORTH RD HNGR A1,IL,61065,3152293320, ,113344,-88.83926,42.32543,5151 ORTH RD HNGR A1
HST,INDIAN CREEK MILITARY MUSEUM,INDIAN CREEK MILITARY MUSEUM,1119 S MACARTHUR BLVD,IL,62704, , , ,-89.66812,39.78887,1119 S MACARTHUR BLVD
HST,CHARNLEY-PERSKY HOUSE MUSEUM FOUNDATION,CHARNLEY-PERSKY HOUSE MUSEUM FOUNDATION,1365 N ASTOR ST,IL,60610,3129150105,HTTP://WWW.SAH.ORG/ABOUT-SAH/CHARNLEY-PERS,85951,-87.62748,41.90711,1365 N ASTOR ST
HST,AHNE ROAD FARMS,AHNE ROAD FARMS INC,111 S MAIN ST,IL,62298, , ,9757,-90.24353,38.34084,7253 DEER HILL RD
BOT,ANDERSON GARDENS,ANDERSON GARDENS,318 SPRING CREEK RD,IL,61107,8152299390,HTTP://WWW.ANDERSONGARDENS.ORG,1219088,-89.05944,42.28888,318 SPRING CREEK RD
HST,JOLIET AREA HISTORICAL MUSEUM,JOLIET AREA HISTORICAL MUSEUM,204 N OTTAWA ST,IL,60432,8157235201, ,568107,-88.083,41.52899,204 N OTTAWA ST
ART,AFRICAN ROCK ARTS,TRUST FOR AFRICAN ROCK ARTS,77 W WACKER DR,IL,60601, , , ,-87.625,41.88819,77 W WACKER DR
HST,STOCKTON HISTORICAL MUSEUM,STOCKTON HISTORICAL MUSEUM INC,107 W FRONT AVE - PO BOX 93,IL,61085,8159472863, ,0,-90.02319,42.34563,PO BOX 93
HST,ROBBINS HISTORIAL SOCIETY AND MUSEUM,ROBBINS HISTORIAL SOCIETY AND MUSEUM,PO BOX 1561,IL,60472,7083895393, , ,-87.70992,41.64042,3644 W 139TH STREET
HST,SIXTIES MUSEUM,SIXTIES MUSEUM INC,708 WING ST,IL,60123,8476971960, ,0,-88.29696,42.04559,708 WING ST
ART,CHILDREN'S ART MUSEUM OF CHICAGO NFP,CHILDRENS ART MUSEUM OF CHICAGO NFP,1800 W 103RD ST,IL,60643,7732339933, , ,-87.66751,41.70669,1800 W 103RD ST
HST,LAFOX MUSEUM CORPORATION,LAFOX MUSEUM CORPORATION,PO BOX 335,IL,60147,6305848485,HTTP://WWW.GARFIELDFARM.ORG,0,-88.43244,41.88416,GARFIELD RD
HST,CHINATOWN MUSEUM,CHINATOWN MUSEUM FOUNDATION,238 W 23RD ST,IL,60616,3129491000,HTTP://WWW.CCAMUSEUM.ORG,333684,-87.63416,41.85103,238 W 23RD ST
HST,TINKER SWISS COTTAGE,TINKER SWISS COTTAGE INC,411 KENT ST,IL,61102,8159642424,HTTP://WWW.TINKERCOTTAGE.COM,279460,-89.10056,42.26319,411 KENT ST
ART,DEER PATH ART LEAGUE,DEER PATH ART LEAGUE,400 E ILLINOIS RD,IL,60045,8472343743,HTTP://WWW.DEERPATHARTLEAGUE.ORG,154436,-87.83615,42.24955,400 E ILLINOIS RD 218
ART,MUSEUM OF CONTEMPORARY ART,MUSEUM OF CONTEMPORARY ART,220 E CHICAGO AVE,IL,60611,3122802660, ,20846926,-87.62195,41.89685,220 E CHICAGO AVE
SCI,ADLER PLANETARIUM & ASTRONOMY MUSEUM,ADLER PLANETARIUM,1300 LAKE SHORE DRIVE,IL,60605,3123220300,HTTP://WWW.ADLERPLANETARIUM.ORG,17101262,-87.6194,41.86488,1300 S LAKE SHORE DR
HST,PIATT COUNTY MUSEUM,PIATT COUNTY MUSEUM INC,315 W MAIN ST,IL,61856,5152281099, ,235063,-88.58057,40.02977,1 HERITAGE LN
HST,FAIRBURY ECHOES MUSEUM,FAIRBURY ECHOES,510 S THIRD ST,IL,61739,8156922191,HTTP://FAIRBURYIL.ORG,0,-88.51323,40.74136,510 S 3RD ST
HST,DAVID DAVIS MANSION FOUNDATION,DAVID DAVIS MANSION FOUNDATION,1000 MONROE ST,IL,61701,3098281084,HTTP://DAVIDDAVISMANSION.ORG,61845,-88.99375,40.48119,100 MONROE DRIVE
CMU,CHILDREN'S MUSEUM OF ILLINOIS,CHILDRENS MUSEUM OF ILLINOIS,55 S COUNTRY CLUB RD,IL,62521,2174235437, ,561601,-88.90678,39.82843,55 S COUNTRY CLUB RD
SCI,ILLINOIS AVIATION HALL OF FAME,ILLINOIS AVIATION HALL OF FAME,2202 KNOLLBROOK WAY,IL,61705, , ,0,-89.04456,40.44686,2202 KNOLLBROOK WAY
ART,GALLERY 510 ARTS GUILD,GALLERY 510 ARTS GUILD LTD,160 E MAIN ST STE 100A,IL,62523, , ,46960,-88.95487,39.84152,160 E MAIN ST 100A
CMU,ORPHEUM CHILDREN'S SCIENCE MUSEUM,ORPHEUM CHILDRENS SCIENCE MUSEUM INC,346 N NEIL ST,IL,61820, , ,233322,-88.24346,40.11868,346 N NEIL ST
CMU,CHILDREN'S DISCOVERY MUSEUM,TOWN OF NORMAL CHILDRENS DISCOVERY MUSEUM FOUNDATION,11 UPTOWN CIR,IL,61761,3094333444,HTTP://WWW.CHILDRENSDISCOVERYMUSEUM.NET/,84288,-88.98372,40.50939,101 EAST BEAUFORT STREET
SCI,SCIENCE CENTER,THE SCIENCE CENTER,1237 EAST MAIN STREET SPACE 1048,IL,62903,6185295431, ,135497,-89.21736,37.72856,1237 EAST MAIN STREET SP
HST,GENERAL JOHN A LOGAN MUSEUM,GENERAL JOHN A LOGAN MUSEUM,PO BOX 563,IL,62966,6186843455,HTTP://WWW.LOGANMUSEUM.ORG,79357,-89.34179,37.76233,1613 EDITH ST
HST,HISTORICAL VANDALIA,HISTORICAL VANDALIA INC 060294,PO BOX 398,IL,62471,6182834866, ,32270,-89.10564,38.96753,PO BOX 398
HST,ONE ROOM SCHOOL,ONE ROOM SCHOOL INC,211 HERBERT AVE,IL,62821,6183827450, ,0,-88.18074,38.073,203 DARAS DR
HST,BRUNK MORGAN HORSE MUSEUM,THE BRUNK MORGAN HORSE MUSEUM INC,7221 LAKE SERVICE ROAD,IL,62563,2175295219, ,0,-89.58719,39.698,7221 LAKE SERVICE RD
HST,WEST FRANKLIN HISTORICAL DISTRICT AND SILKWOOD INN MUSEUM,WEST FRANKLIN HISTORICAL DISTRICT AND SILKWOOD INN MUSEUM I,PO BOX 601,IL,62865, , ,18753,-89.07938,37.96995,PO BOX 601
HST,VERMILION COUNTY WAR MUSEUM SOCIETY,VERMILION COUNTY WAR MUSEUM SOCIETY,307 N VERMILION ST,IL,61832,2174310034,HTTP://WWW.VCWM.ORG,41688,-87.62991,40.12982,307 N VERMILION ST
CMU,DISCOVERY DEPOT CHILDREN'S MUSEUM,GALESBURG MUSEUMS INC,128 S CHAMBERS ST,IL,61401,3093448876,HTTP://WWW.DISCOVERYDEPOT.ORG,532653,-90.36247,40.94677,128 S CHAMBERS ST
HST,WOOD RIVER REFINERY HISTORY MUSEUM,WOOD RIVER REFINERY HISTORY MUSEUM,PO BOX 76,IL,62084,6182553718,HTTP://WWW.WRRHM.ORG, ,-90.07829,38.84464,900 S CENTRAL AVE
ZAW,PEORIA ZOO,PEORIA ZOOLOGICAL SOCIETY,2320 N PROSPECT RD,IL,61602,3096863365,HTTP://WWW.PEORIAZOO.ORG/,1506976,-89.57719,40.72148,2320 N PROSPECT RD
HST,KOREAN WAR VETERANS NATIONAL MUSEUM & LIBRARY,KOREAN WAR VETERANS NATIONAL MUSEUM & LIBRARY,47 W DIVISION ST 1950,IL,60690,8884195053,HTTP://WWW.KWNM.ORG,1332203,-87.6303,41.90382,47 W DIVISION ST 1950
CMU,CHILDREN'S MUSEUM OF EDWARDSVILLE,EDWARDSVILLE CHILDRENS MUSEUM INC,722 HOLYOAKE RD,IL,62025,6186922094, ,130676,-89.94994,38.8039,722 HOLYOAKE RD
HST,WATERLOO MUSEUM SOCIETY,WATERLOO MUSEUM SOCIETY,PO BOX 28,IL,62298,6189395008,HTTP://MONROECOUNTYHISTORYMUSEUM.COM,0,-90.16278,38.35592,PO BOX 28
HST,IL STATE POLICE HERITAGE,ILLINOIS STATE POLICE HERITAGE FOUNDATION INCORPORATED,4000 N PEORIA RD,IL,62702,2175280764,HTTP://WWW.ISPHF.ORG,679427,-89.62193,39.85262,4000 N PEORIA RD
ZAW,HICKORY SHADOWS EXOTICS & WILDLIFE REHABILITATION & EDUCATION FACILITY,HICKORY SHADOWS EXOTICS & WILDLIFE REHABILITATION & EDUCATI,9370 E RADIUS RD,IL,62864,6182444324, ,0,-88.97863,38.29405,9256 E HEIGHTS RD
HST,HILLS FORT SOCIETY,HILLS FORT SOCIETY,PO BOX 682,IL,62246,6182485885,HTTP://WWW.FORTSOFILLINOIS.ORG/,0,-89.41134,38.89405,PO BOX 682
ART,NEXT PICTURE SHOW,NEXT PICTURE SHOW INC,113 W 1ST ST,IL,61021,8152854924,HTTP://WWW.THENEXTPICTURESHOW.COM,138931,-89.48378,41.84341,113 W 1ST ST
ART,SPRINGFIELD ART ASSOCIATION OF EDWARDS PLACE,SPRINGFIELD ART ASSOCIATION OF EDWARDS PLACE,700 N 4TH ST,IL,62702,2175232631,HTTP://WWW.SPRINGFIELDART.ORG,976937,-89.65041,39.80924,700 N 4TH ST
ART,QUINCY ART CENTER,QUINCY ART CENTER,1515 JERSEY ST,IL,62301,2172235900,HTTP://WWW.SIOUXCITYARTCENTER.ORG,570771,-91.39172,39.93015,1515 JERSEY ST
HST,VERMILION COUNTY MUSEUM SOCIETY,VERMILION COUNTY MUSEUM SOCIETY,116 N GILBERT ST,IL,61832,2174422922,HTTP://WWW.VERMILIONCOUNTYMUSEUM.ORG,199669,-87.63566,40.1273,116 N GILBERT ST
HST,MONTICELLO RAILWAY MUSEUM,MONTICELLO RAILWAY MUSEUM INC,PO BOX 401,IL,61856,2177629011,HTTP://WWW.MRYM.ORG,516735,-88.56102,40.05427,992 IRON HORSE PL
ART,FLINT INSTITUTE OF ARTS,BRAY CHARITABLE TRUST FBO FLINT INSTITUTE OF ARTS A,10 S DEARBORN,IL,60603, , , ,-87.62948,41.88188,10 S DEARBORN
HST,A FRENCH AMERICAN MUSEUM OF CHICAGO,A FRENCH AMERICAN MUSEUM OF CHICAGO,PO BOX 61,IL,60690, , , ,-87.63072,41.87928,PO BOX 61
BOT,HEALTHY LANDS HEALTHY PEOPLE,HEALTHY LANDS HEALTHY PEOPLE,6305 PIERCE LANE,IL,62035,6189797013, ,0,-90.21483,38.95747,6305 PIERCE LN
ART,BICENTENNIAL ART CENTER AND MUSEUM,BICENTENNIAL ART CENTER AND MUSEUM,132 S CENTRAL AVE,IL,61944,2174668130, ,51046,-87.69617,39.61098,132 S CENTRAL AVE
ZAW,MILLER PARK ZOO,MILLER PARK ZOOLOGICAL SOCIETY,1020 S MORRIS AVE,IL,61701,3094342250, ,229793,-89.00628,40.47089,1020 S MORRIS AVE
HST,BARTLETT HISTORY MUSEUM,BARTLETT HISTORICAL SOCIETY,228 S MAIN STREET,IL,60103,6308370800, ,0,-88.17257,41.96326,PO BOX 8257
ART,FREEPORT ARTS CENTER,FREEPORT ARTS CENTER,121 N HARLEM,IL,61032,8152359755, ,228481,-89.63927,42.29742,121 N HARLEM AVENUE #B
HST,COLLINSVILLE HISTORICAL MUSEUM,COLLINSVILLE HISTORICAL MUSEUM,406 W MAIN ST,IL,62234,6183441834,HTTP://WWW.COLLINSVILLEMUSEUM.ORG,33292,-89.99012,38.66863,406 W MAIN ST
ART,UNION STREET GALLERY,UNION STREET GALLERY,1527 OTTO BLVD,IL,60411,7087542601,HTTP://WWW.UNIONSTREETGALLERY.ORG,132314,-87.63696,41.50384,1527 OTTO BLVD
NAT,MIDWEST MUSEUM OF NATURAL HISTORY,MIDWEST MUSEUM OF NATURAL HISTORY,425 W STATE ST,IL,60178,8158959777,HTTP://WWW.MMNH.ORG,98163,-88.68896,41.98917,425 W STATE ST
HST,NATIONAL ROAD INTERPRETIVE CENTER,THE NATIONAL ROAD INTERPREATIVE CEN TER IN VANDALIA ILLINOI,106 S 5TH ST,IL,62471,6182839380,HTTP://NATIONALROADVANDALIA.ORG/,1440,-89.0961,38.96091,106 S 5TH ST
HST,AMERICAN FARM HERITAGE NFP,AMERICAN FARM HERITAGE NFP,1006 RIDGE AVE,IL,62246,6186649733, ,173348,-89.41134,38.89405,1395 MUSEUM AVENUE
HST,CHRISTIAN COUNTY COAL MINE MUSEUM NST,CHRISTIAN COUNTY COAL MINE MUSEUM NST,118 SOUTH MAIN STREET,IL,62568, , ,0,-89.29483,39.54853,118 SOUTH MAIN
BOT,LAKE KATHERINE NATURE CENTER AND BOTANIC GARDENS,LAKE KATHERINE NATURE CENTER AND BOTANIC GARDENS,7402 LAKE KATHERINE DR,IL,60463,7083611873,HTTP://WWW.LAKEKATHERINE.ORG,256896,-87.8013,41.67684,7402 LAKE KATHERINE DR
HST,CHICAGO HISTORY MUSEUM,CHICAGO HISTORY MUSEUM,1600 NORTH CLARK STREET,IL,60614, ,HTTP://CHICAGOHISTORY.ORG, ,-87.64911,41.92365,1600 NORTH CLARK STREET
BOT,CHAMPAIGN COUNTY FOREST PRESERVE DISTRICT,CHAMPAIGN COUNTY FOREST PRESERVE DISTRICT,2573 S HOMER LAKE ROAD,IL,61849,2178962455,HTTP://WWW.CCFPD.ORG, ,-87.9945,40.07623,2573 S HOMER LAKE ROAD
BOT,DOUGLAS-HART NATURE CENTER,DOUGLAS-HART FOUNDATION,2204 DEWITT AVENUE EAST,IL,61938,2172354644,HTTP://WWW.DHNATURE.ORG, ,-88.3167,39.49177,2204 DEWITT AVENUE EAST
BOT,EDEN PLACE NATURE CENTER,THE DONNELLEY FOUNDATION,4417 S STEWART AVENUE,IL,60609,7736248686, , ,-87.63567,41.81391,4417 S STEWART AVENUE
BOT,FOREST PARK NATURE CENTER,FOREST PARK NATURE CENTER,5809 FOREST PARK DRIVE,IL,61616,3096863360, , ,-89.58169,40.75382,5809 FOREST PARK DRIVE
BOT,FOREST PRESERVE DISTRICT OF WILL COUNTY,FOREST PRESERVE DISTRICT OF WILL COUNTY,27064 S DUTTON ROAD,IL,60401,8157278700,HTTP://WWW.RECONNECTWITHNATURE.ORG, ,-87.60349,41.39276,27064 S DUTTON ROAD
BOT,FULTON ANDRESEN NATURE CENTER,FULTON ANDRESEN NATURE CENTER,409 NORTH 4TH STREET,IL,61252,9545931039, , ,-90.16454,41.878,409 NORTH 4TH STREET
BOT,HELLER NATURE CENTER,HELLER NATURE CENTER,636 RIDGE RD,IL,60035,8475794182,HTTP://WWW.PDHP.ORG, ,-87.81582,42.16446,636 RIDGE RD
BOT,LORADO TAFT FIELD CAMPUS,LORADO TAFT FIELD CAMPUS,PO BOX 299,IL,61061,8157322111, , ,-89.32481,42.03481,1414 N RIVER ROAD
BOT,PECK FARM PARK,PECK FARM PARK,4038 KANEVILLE RD,IL,60134,6302628244,HTTP://WWW.GENEVAPARKS.ORG/, ,-88.3341,41.88335,4038 KANEVILLE RD
BOT,PILCHER PARK NATURE CENTER (JOLIET PARK DISTRICT),PILCHER PARK NATURE CENTER (JOLIET PARK DISTRICT),2501 HIGHLAND PARK DRIVE,IL,60432,8157417277,HTTP://WWW.JOLIETPARK.ORG, ,-88.03187,41.53614,2501 HIGHLAND PARK DRIVE
BOT,ROCK SPRINGS NATURE CENTER,ROCK SPRINGS NATURE CENTER,3939 NEARING LANE,IL,62521,2174237708, , ,-89.01414,39.82297,3939 NEARING LANE
BOT,SPRING VALLEY NATURE CENTER & HERITAGE FARM,SPRING VALLEY NATURE CENTER & HERITAGE FARM,1111 E SCHAUMBURG RD,IL,60194,8479852100,HTTP://WWW.PARKFUN.COM, ,-88.11048,42.02609,1111 E SCHAUMBURG RD
BOT,SUGAR GROVE NATURE CENTER,SUGAR GROVE NATURE CENTER,4532 N 725 EAST RD,IL,61721,3098742174,HTTP://WWW.SUGARGROVENATURECENTER.ORG, ,-89.12795,40.35872,4532 N 725 EAST RD
BOT,URBANA PARK DISTRICT / ANITA PURVES NATURE CENTER,URBANA PARK DISTRICT / ANITA PURVES NATURE CENTER,1505 NORTH BROADWAY,IL,61801,2173844062, , ,-88.2078,40.12666,1505 NORTH BROADWAY
BOT,EDWARDSVILLE WATERSHED NATURE,NATURE PRESERVE FOUNDATION,PO BOX 843,IL,62025,6186927578,HTTP://WWW.WATERSHEDNATURECENTER.COM,69302,-89.97422,38.81692,1591 TOWER AVE
BOT,CHICAGO BOTANIC GARDEN,CHICAGO HORTICULTURAL SOCIETY,1000 LAKE COOK ROAD,IL,60022,8478355440,HTTP://WWW.CHICAGOBOTANIC.ORG/,51973972,-87.77196,42.14194,1000 LAKE COOK ROAD
HST,WESTCHESTER TOWNSHIP HISTORY MUSEUM,WESTCHESTER TWP HISTORY MUSEUM,700 W PORTER AVE,IN,46304,2199839715, , ,-87.06149,41.60681,700 W PORTER AVE
SCI,KINSEY INSTITUTE FOR RESEARCH IN SEX GENDER AND REPRODUCTION,KINSEY INSTITUTE FOR RESEARCH IN SEX GENDER AND REPRODUCTIO,INDIANA UNIVERSITY-MORRISON HALL 313,IN,47405, ,HTTP://WWW.KINSEYINSTITUTE.ORG/,218043,-86.51959,39.16435,1165 E THIRD ST
HST,NATIVE AMERICAN MUSEUM,MUSEUM OF NATIVE AMERICAN HISTORY INC,5170 E POPLAR DR,IN,47803,8128776007, , ,-94.22155,36.36119,202 SW 0 ST
ART,MUSEUM OF MINIATURE HOUSES,MUSEUM OF MINATURE HOUSES AND OTHER COLLECTIONS INC,1089 3RD AVE SW,IN,46032,3175750240,HTTP://WWW.MUSEUMOFMINIATURES.ORG,98823,-86.12493,39.97831,111 EAST MAIN STREET
CMU,KOCH FAMILY CHILDREN'S MUSEUM OF EVANSVILLE,LOUIS J KOCH FAMILY CHILDRENS MUSEUM OF EVANSVILLE INC,1102 WASHINGTON SQ,IN,47715,8124774929,HTTP://WWW.CMOEKIDS.ORG/,847404,-87.56978,37.97198,22 S E FIFTH STREET
ART,GARRETT MUSEUM OF ART,GARRETT MUSEUM OF ART,100 S RANDOLPH ST,IN,46738,2603574917, , ,-85.13572,41.34953,100 S RANDOLPH ST
ART,GREATER LAFAYETTE MUSEUM OF ART,ART MUSEUM OF GREATER LAFAYETTE INC,101 S 9TH ST,IN,47901,7657421128,HTTP://WWW.ARTLAFAYETTE.ORG/,361488,-86.88589,40.4172,102 S 10TH STREET
BOT,FOELLINGER-FREIMANN BOTANICAL CONSERVATORY,FOELLINGER-FREIMANN BOTANICAL CONSERVATORY,1100 SOUTH CALHOUN STREET,IN,46802,2194271265,HTTP://WWW.BOTANICALCONSERVATORY.ORG, ,-85.13885,41.07619,1100 SOUTH CALHOUN STREET
HST,DAN QUAYLE CENTER AND MUSEUM,DAN QUAYLE COMMEMORATIVE FOUNDATION INC,815 WARREN ST,IN,46750,2603566356,HTTP://WWW.QUAYLEMUSEUM.ORG/,49117,-85.49621,40.88498,815 WARREN ST
HST,USS INDIANAPOLIS CA-35 MEMORIAL MUSEUM,USS INDIANAPOLIS CA-35 MEMORIAL MUSEUM INC,PO BOX 441135,IN,46244, ,HTTP://WWW.USSINDIANAPOLIS.US/,172,-86.15792,39.77369,PO BOX 441135
HST,LUCKEY HOSPITAL MUSEUM,LUCKEY HOSPITAL MUSEUM INC,PO BOX 143,IN,46796,2606352490,HTTP://LUCKEYHOSPITALMUSEUM.ORG/,0,-85.49476,41.33501,US 33 & SR 109 INTERSECTION P O BOX 143
BOT,WELLFIELD BOTANIC GARDENS,WELLFIELD BOTANIC GARDENS INC,921 N MAIN ST,IN,46514,5742662006, ,2201575,-85.97643,41.6945,921 N MAIN ST
NAT,JOSHUA TREE EARTH AND SPACE MUSEUM,JOSHUA TREE EARTH AND SPACE MUSEUM INCORPORATION,PO BOX 101,IN,46536,5747842291, ,800,-86.28167,41.52651,PO BOX 101
HST,MUSEUM OF SOUTHERN INDIANA BREWERY FAMILIES,MUSEUM OF BREWERY FAMILIES OF SOUTHERN IN CORP,1302 S E FIRST ST,IN,47713, ,HTTP://WWW.MUSEUMSUSA.ORG/MUSEUMS/INFO/14757,0,-87.56701,37.95949,1302 S E FIRST ST
HST,CONNER PRAIRIE MUSEUM,CONNER PRAIRIE MUSEUM INC,13400 ALLISONVLL RD,IN,46038,3177766000,HTTP://WWW.CONNERPRAIRIE.ORG,11027185,-86.0253,39.98359,13400 ALLISONVILLE RD
HST,AMERICAN HUEY 369,AMERICAN HUEY 369 INC,209 S BROADWAY,IN,46970,7656897500,HTTP://WWW.AMERICANHUEY369.ORG,285728,-86.07178,40.75749,209 S BROADWAY
HST,500 MUSEUM OF WHEELS,500 MUSEUM OF WHEELS INC,650 S STATE ROAD 46,IN,47803,8122390580, , ,-87.33283,39.45565,650 S STATE ROAD 46
ART,ROBERT & ELLEN HAAN MUSEUM OF INDIANA ART,ROBERT & ELLEN HAAN MUSEUM OFINDIANA ART INC,PO BOX 970,IN,47902, , ,0,-86.88569,40.41242,920 E STATE STREET
BOT,BOTANICAL SOCIETY OF SOUTH BEND,BOTANICAL SOCIETY OF SOUTH BEND LTD,PO BOX 4236,IN,46634, , ,0,-86.2499,41.67201,PO BOX 4263
HST,HOWARD COUNTY AUTOMOTIVE HERITAGE HALL OF FAME,HOWARD COUNTY AUTOMOTIVE HERITAGEHALL OF FAME INC,PO BOX 6352,IN,46904, ,HTTP://WWW.HCAUTOMOTIVEHALLOFFAME.ORG/,14373,-86.13656,40.45474,PO BOX 6352
ZAW,MICHIGAN CITY ZOOLOGICAL SOCIETY,MICHIGAN CITY ZOOLOGICAL SOCIETY INC,PO BOX 315,IN,46361,2198731510, ,46816,-86.89448,41.72757,115 LAKE SHORE DR
HST,INDIANA MEDICAL HISTORY MUSEUM,INDIANA MEDICAL HISTORY MUSEUM INC,3045 W VERMONT ST,IN,46222,3176357329,HTTP://WWW.IMHM.ORG,98225,-86.21499,39.77209,3045 W VERMONT ST
HST,LITTLE RIVER RAILROAD,LITTLE RIVER RAILROAD INC,13187 S R 120,IN,46737,5748259182, ,88849,-84.92007,41.7001,3202 E 400 N
HST,FAIRMOUNT HISTORICAL MUSEUM,FAIRMOUNT HISTORICAL MUSEUM INC,PO BOX 92,IN,46928,7659484555,HTTP://WWW.JAMESDEANARTIFACTS.COM/,36686,-85.64845,40.41577,203 E WASHINGTON ST
HST,USS LST SHIP MEMORIAL,USS LST SHIP MEMORIAL INC,840 LST DR,IN,47713, , ,540800,-87.56624,37.9416,840 LST DR
